Symptom,Description,Code
speech_problems,slurred speech,sp_0
,"bleating voice (like sheep, goat etc.)",sp_1
,phonophobia,sp_2
,confusion while speaking,sp_3
,,
,,
general_feelings,fear of heights,g_0
,feeling hopeless,g_1
,feeling sad ,g_2
,feeling suicidal,g_3
,feeling homicidal,g_4
,discomfort,g_5
,unsteadiness,g_6
,feeling happy,g_7
,feeling silly,g_8
,feeling excited,g_9
,headache,g_10
,feeling depressed,g_11
,excessive daytime sleepiness,g_12
,feeling exhausted,g_13
,feeling irritation,g_14
,feels like vomiting but without throwing food outside,g_15
,Severe chills accompanied by vigorous shaking.,g_16
,sleeplessness,g_17
,,
female_related,intermenstrual_heavy_bleeding,fm_0
,mass_in_breast,fm_1
,no pregnency,fm_2
,increased estrogen use ,fm_3
,bleeding of vagina ,fm_4
,abnormal mentruation,fm_5
